soil_moisture,soil_ph,soil_temperature,nitrogen,phosphorus,potassium,area_ha,kc,et0,etc_per_day,rain_3day,temp_max,temp_min,humidity,wind_speed,depletion_mm,TAW,RAW,root_depth,water_need_level,optimal_moisture,soil_infiltration,growth_stage_enc,should_irrigate,urgency,water_litres,efficiency_score
47.72,5.28,18.91,33.78,46.19,65.74,13.238,0.892,2.159,1.927,2.84,26.4,8.98,75.34,13.86,0.0,132.0,46.2,1.1,3,75,40,2,0,1,1202740.22,77.65
75.63,4.56,17.9,10.29,8.05,77.71,14.103,0.788,2.334,1.838,0.57,32.23,25.95,56.87,11.84,0.0,121.0,42.35,1.1,3,70,50,5,0,0,1671336.62,71.65
46.88,7.27,30.88,10.21,33.1,58.2,10.112,0.9,5.291,4.762,3.09,43.69,30.13,32.22,1.76,0.0,160.0,64.0,1.0,2,65,2,5,0,1,2627756.28,82.72
61.04,6.25,31.08,57.7,45.92,85.02,7.783,0.977,6.271,6.13,0.32,46.84,30.07,34.68,1.73,0.0,120.0,48.0,1.0,2,65,40,2,0,0,2984309.49,83.38
22.56,7.57,16.78,41.68,68.37,6.98,16.308,0.72,1.789,1.288,6.3,26.46,19.92,72.26,15.72,0.0,120.0,48.0,1.0,2,65,40,1,1,2,0.0,80.89
29.2,7.88,35.17,118.91,35.95,36.62,15.551,1.02,2.271,2.317,4.17,28.22,11.12,84.38,10.72,68.05,180.0,72.0,1.0,2,65,10,2,1,2,1628111.08,76.94
23.25,8.56,27.63,100.04,29.0,81.12,7.845,0.85,1.5,1.275,8.99,18.33,1.56,26.85,7.98,117.5,185.0,74.0,1.0,2,60,20,2,0,0,0.0,72.85
50.88,5.82,23.22,82.34,61.43,72.28,15.813,0.977,1.692,1.654,1.75,20.74,9.31,24.32,13.74,0.0,187.0,65.45,1.1,3,70,25,2,0,1,1526075.32,84.65
43.07,5.03,18.57,92.57,51.37,13.6,1.774,0.977,2.766,2.704,0.25,39.03,33.08,81.64,17.66,0.0,203.5,71.23,1.1,3,70,20,2,0,1,301625.05,82.54
90.78,8.94,33.83,48.27,11.26,71.06,11.212,0.825,2.941,2.426,0.03,30.73,13.94,28.34,12.32,0.0,166.5,74.92,0.9,1,55,20,5,0,0,1886357.48,78.26
19.5,5.03,17.94,79.66,60.95,54.59,19.247,0.9,2.011,1.81,9.91,29.25,20.53,85.14,5.59,204.96,150.0,60.0,1.0,2,65,1,5,0,3,0.0,52.99
94.44,4.83,28.85,116.47,44.23,58.5,13.945,0.862,2.819,2.431,0.14,31.64,18.48,63.82,22.53,0.0,165.0,57.75,1.1,3,70,1,5,0,0,2241644.25,81.45
91.03,8.51,26.39,76.32,25.8,20.99,9.328,1.15,2.695,3.099,12.85,28.6,16.01,25.83,24.36,0.0,110.0,44.0,1.0,2,65,50,3,0,0,234346.79,74.24
80.1,7.58,19.07,109.76,66.69,85.73,14.542,0.825,2.934,2.421,0.14,36.4,25.97,89.95,21.65,0.0,153.0,68.85,0.9,1,55,25,5,0,0,2203471.52,84.84
45.12,8.15,39.68,22.3,49.56,37.38,19.401,0.66,4.837,3.193,0.96,43.26,27.37,55.15,10.37,0.0,135.0,60.75,0.9,1,55,1,1,0,1,3697135.33,82.43
94.98,8.98,28.89,93.43,75.86,77.22,5.022,0.4,2.07,0.828,0.78,31.52,24.84,91.55,15.15,0.0,153.0,68.85,0.9,1,50,25,0,0,0,240357.82,80.45
64.45,6.11,17.84,82.23,44.02,70.65,10.451,0.46,4.619,2.125,1.55,43.57,31.39,62.07,21.92,0.0,120.0,48.0,1.0,2,65,40,0,0,0,1215417.07,87.47
32.04,5.11,15.36,45.32,49.24,38.34,8.806,0.935,4.709,4.403,1.52,45.12,35.6,58.55,19.59,39.63,180.0,72.0,1.0,2,60,10,2,0,2,2575011.97,78.57
83.99,8.77,18.68,111.56,41.91,26.95,9.237,1.2,5.874,7.048,0.82,47.4,36.0,44.66,15.84,0.0,110.0,44.0,1.0,2,65,50,4,0,0,4066319.36,75.88
42.65,8.54,26.85,81.77,17.92,21.34,0.913,0.66,1.666,1.1,0.39,23.07,14.45,33.28,2.22,0.0,153.0,68.85,0.9,1,55,25,1,0,1,64510.06,82.36
31.51,6.14,27.59,84.4,7.95,72.95,12.595,1.15,1.5,1.725,0.97,20.45,4.1,89.07,1.53,40.44,162.0,72.9,0.9,1,55,10,3,0,2,1419020.47,76.8
31.75,6.17,27.11,76.1,32.67,44.32,14.975,0.69,1.5,1.035,2.15,19.1,10.82,73.5,22.38,38.27,162.0,72.9,0.9,1,55,10,1,0,2,605771.89,81.01
23.57,6.51,28.32,32.88,25.19,37.07,0.499,0.6,2.009,1.206,6.64,27.66,19.91,44.56,2.99,0.0,99.0,44.55,0.9,1,50,50,1,1,2,0.0,87.17
54.88,4.89,28.43,72.49,60.91,41.69,2.639,1.05,2.012,2.112,1.32,26.51,16.79,68.44,14.27,0.0,165.0,57.75,1.1,3,70,1,4,0,1,370826.74,80.63
63.46,5.57,17.54,22.58,23.45,18.66,3.813,1.0,1.645,1.645,2.23,26.55,19.3,87.26,2.01,0.0,166.5,74.92,0.9,1,50,20,4,0,0,306027.76,83.51
84.24,8.18,21.45,24.65,55.15,84.0,11.18,1.0,2.626,2.626,1.17,35.15,26.51,77.71,4.68,0.0,150.0,60.0,1.0,2,65,1,3,0,0,1830888.42,80.66
55.61,5.59,17.87,75.22,26.65,54.41,3.172,0.69,3.078,2.124,0.43,32.43,20.51,23.89,8.42,0.0,110.0,44.0,1.0,2,60,50,1,0,0,411535.11,79.97
69.52,7.92,29.89,59.23,35.89,34.65,18.598,0.34,5.469,1.86,8.36,42.92,25.37,29.32,18.27,0.0,180.0,72.0,1.0,2,60,10,0,0,0,83533.98,84.02
20.32,7.84,29.36,101.81,15.48,72.6,4.112,0.42,1.553,0.652,2.22,22.91,15.77,81.09,16.63,194.48,176.0,61.6,1.1,3,70,2,0,1,3,49305.24,58.08
80.33,6.48,24.42,58.21,27.6,68.55,10.104,0.75,2.107,1.581,7.11,24.97,8.27,48.79,13.59,0.0,222.0,66.6,1.2,4,80,20,1,0,0,41503.55,83.84
24.35,8.73,30.69,43.51,15.45,72.49,12.439,1.0,2.893,2.893,1.12,34.0,17.38,79.14,3.79,104.83,162.0,72.9,0.9,1,50,10,4,1,2,2193489.1,71.9
85.14,6.04,35.53,17.72,68.48,15.84,8.006,1.2,4.154,4.985,3.82,41.92,34.97,37.19,18.06,0.0,180.0,72.0,1.0,2,65,10,3,0,0,2400669.47,83.11
70.52,6.94,21.29,44.76,18.62,82.22,11.709,1.05,2.16,2.268,2.65,30.03,19.02,91.05,3.83,0.0,198.0,69.3,1.1,3,75,10,4,0,0,1395290.97,81.39
84.77,8.69,29.13,85.11,74.19,65.12,3.136,0.4,3.383,1.353,8.17,35.29,22.4,51.81,18.41,0.0,135.0,60.75,0.9,1,50,1,0,0,0,0.0,80.56
51.07,5.01,39.62,101.47,14.35,83.27,17.411,0.4,2.969,1.187,1.22,33.57,20.88,49.93,1.37,0.0,166.5,74.92,0.9,1,50,20,0,0,1,1195572.2,83.59
88.59,6.06,23.67,89.81,38.92,24.09,9.104,0.85,1.528,1.299,7.39,22.23,14.93,57.38,10.47,0.0,135.0,60.75,0.9,1,50,1,2,0,0,0.0,77.04
61.45,7.35,15.33,81.31,18.35,86.69,3.058,0.892,1.88,1.678,2.71,30.44,24.33,94.77,12.55,0.0,203.5,71.23,1.1,3,70,20,2,0,0,214386.46,79.65
86.84,5.42,19.77,9.2,40.41,53.01,1.408,1.2,4.035,4.842,1.54,41.27,30.37,59.33,11.02,0.0,170.0,68.0,1.0,2,65,25,3,0,0,449967.05,80.92
27.42,5.32,36.54,113.8,33.0,28.01,12.916,0.46,2.25,1.035,3.23,30.26,24.93,31.71,17.9,94.39,198.0,69.3,1.1,3,70,10,0,1,2,281290.35,68.31
68.75,4.59,17.6,96.99,18.39,60.48,4.84,0.892,1.546,1.379,5.32,20.98,12.82,74.17,21.39,0.0,203.5,71.23,1.1,3,70,20,2,0,0,79446.29,75.58
68.45,5.42,22.33,108.08,5.98,12.27,4.237,0.51,1.5,0.765,6.7,18.8,11.44,63.73,10.54,0.0,120.0,48.0,1.0,2,60,40,1,0,0,0.0,77.54
45.38,7.16,21.7,76.78,35.71,51.92,8.779,0.637,2.092,1.334,6.09,26.83,9.5,77.27,3.5,0.0,160.0,64.0,1.0,2,60,2,5,0,1,18104.2,80.55
86.56,8.1,25.63,7.58,25.15,51.04,12.706,0.75,1.8,1.35,2.24,25.74,18.93,82.62,24.61,0.0,108.0,48.6,0.9,1,45,40,5,0,0,723551.25,74.7
59.33,7.43,35.74,28.74,5.82,16.64,18.01,0.51,4.665,2.379,0.58,44.22,31.45,65.04,16.63,0.0,150.0,60.0,1.0,2,60,1,1,0,0,3078578.37,84.66
48.5,6.22,27.97,10.4,17.47,67.73,1.748,0.75,3.064,2.298,1.32,36.09,27.91,49.2,7.22,0.0,204.0,61.2,1.2,4,80,25,1,0,1,257406.37,80.53
53.08,7.49,38.42,89.25,21.12,7.65,5.319,1.0,2.67,2.67,1.22,35.85,30.18,57.23,14.92,0.0,132.0,46.2,1.1,3,75,40,4,0,1,945331.09,76.74
23.53,4.84,33.2,61.98,56.63,41.96,5.003,0.977,4.258,4.162,2.68,42.57,27.18,72.1,6.8,164.72,150.0,60.0,1.0,2,60,1,2,1,2,1221942.93,53.59
58.35,8.43,33.31,97.75,54.41,63.84,16.999,0.44,2.232,0.982,8.65,25.49,14.13,36.59,24.69,0.0,176.0,61.6,1.1,3,75,2,0,0,0,0.0,78.54
71.45,8.66,19.51,70.31,73.66,7.89,13.979,0.977,2.228,2.177,1.93,26.92,9.9,92.83,23.61,0.0,120.0,48.0,1.0,2,60,40,2,0,0,1851275.23,78.11
81.31,4.67,29.91,31.45,14.04,11.54,13.956,0.69,2.526,1.743,2.33,28.2,13.77,24.9,7.88,0.0,160.0,64.0,1.0,2,65,2,1,0,0,1286599.7,81.66
40.5,7.32,37.15,75.82,22.47,7.07,17.415,0.42,1.575,0.661,4.81,18.64,2.27,59.67,23.48,0.0,176.0,61.6,1.1,3,70,2,0,0,1,0.0,85.67
47.15,6.66,30.69,105.47,78.81,70.3,8.414,0.42,2.731,1.147,1.31,30.64,16.05,37.91,2.76,0.0,198.0,69.3,1.1,3,70,10,0,0,1,488104.51,79.95
38.7,5.55,16.05,7.06,79.08,41.36,7.748,0.63,2.844,1.792,0.28,38.39,30.55,91.25,19.66,14.25,165.0,57.75,1.1,3,70,1,1,0,1,923630.83,83.16
28.36,8.96,20.79,113.41,53.72,56.66,10.303,1.25,1.767,2.209,4.54,24.92,17.63,36.54,4.66,79.65,222.0,66.6,1.2,4,80,20,3,1,2,865117.16,67.45
19.63,8.86,37.09,111.69,79.62,19.78,7.985,0.85,4.792,4.073,0.76,40.75,26.7,31.54,20.4,0.0,121.0,42.35,1.1,3,75,50,2,1,3,2064778.94,84.99
61.41,4.91,36.94,35.54,14.71,80.54,19.117,0.85,4.639,3.943,0.27,43.86,28.34,69.14,13.77,0.0,120.0,48.0,1.0,2,60,40,4,0,0,5103622.8,82.55
44.82,5.67,33.09,62.03,11.08,23.72,13.697,1.0,1.606,1.606,2.69,20.28,4.22,57.14,12.01,0.0,110.0,44.0,1.0,2,65,50,4,0,1,1050476.95,85.98
60.26,5.7,36.97,96.7,54.38,77.3,17.359,0.788,3.826,3.013,2.89,39.25,23.37,72.31,17.0,0.0,203.5,71.23,1.1,3,70,20,5,0,0,3055642.14,77.71
27.69,8.46,36.8,8.36,66.94,15.95,6.769,0.977,3.119,3.049,2.12,40.31,33.22,81.35,20.8,80.43,203.5,71.23,1.1,3,70,20,2,1,2,1107661.5,71.16
93.49,7.34,21.5,77.91,45.5,71.29,2.229,0.825,3.389,2.796,3.0,40.83,28.79,92.22,8.55,0.0,166.5,74.92,0.9,1,55,20,5,0,0,364750.05,79.53
23.2,8.72,32.2,12.8,27.57,65.19,1.44,1.15,2.836,3.262,6.16,35.47,25.97,66.57,1.14,127.99,180.0,72.0,1.0,2,60,10,4,1,2,214374.42,64.4
16.97,4.6,23.09,61.19,62.78,63.08,8.973,0.6,2.214,1.329,0.54,26.21,8.25,51.96,11.28,210.33,160.0,64.0,1.0,2,60,2,1,1,3,807285.64,50.93
70.49,5.49,17.06,83.26,54.09,28.23,19.022,0.977,1.596,1.56,3.05,22.53,11.91,90.77,10.49,0.0,160.0,64.0,1.0,2,65,2,2,0,0,1181981.6,84.17
33.4,5.46,15.78,79.94,32.64,78.47,9.517,1.15,3.897,4.482,4.42,47.05,39.63,85.15,19.41,66.04,150.0,60.0,1.0,2,60,1,4,1,2,2516769.05,71.95
75.88,7.32,18.28,8.74,74.06,57.42,15.951,0.69,2.676,1.847,1.69,32.45,25.92,29.39,17.14,0.0,150.0,60.0,1.0,2,65,1,1,0,0,1558637.96,78.34
61.56,5.71,34.94,40.69,39.14,5.99,1.542,0.862,2.362,2.037,3.56,29.77,18.54,65.0,7.29,0.0,160.0,64.0,1.0,2,60,2,5,0,0,147340.6,82.09
77.39,4.68,27.01,17.07,23.15,88.87,2.936,0.69,2.813,1.941,0.03,32.97,19.93,72.68,13.99,0.0,144.0,64.8,0.9,1,55,2,1,0,0,383806.89,76.22
43.05,4.65,16.96,50.65,14.95,53.24,13.82,1.02,4.232,4.317,3.04,42.02,34.42,32.56,2.61,0.0,160.0,64.0,1.0,2,65,2,2,0,1,3693527.4,79.06
17.53,8.71,16.3,67.25,58.18,79.03,14.31,0.72,3.456,2.489,6.76,42.05,32.64,81.11,2.0,224.73,150.0,60.0,1.0,2,65,1,1,1,3,1052550.06,50.0
66.49,6.87,33.29,14.39,9.53,26.0,3.275,1.0,3.286,3.286,0.6,44.15,36.3,93.19,8.42,0.0,166.5,74.92,0.9,1,50,20,3,0,0,765517.46,86.36
67.7,6.74,28.88,87.71,22.13,89.69,19.498,0.69,2.836,1.957,0.09,37.51,29.92,71.02,1.8,0.0,165.0,57.75,1.1,3,70,1,1,0,0,2515435.85,85.27
73.17,7.84,25.64,44.78,32.83,88.95,0.898,1.05,4.933,5.179,2.0,44.01,31.49,52.9,18.13,0.0,165.0,57.75,1.1,3,70,1,4,0,0,320989.37,80.64
87.06,6.4,21.92,73.12,73.43,22.91,12.497,1.1,4.007,4.408,7.19,36.95,22.42,29.87,17.9,0.0,121.0,42.35,1.1,3,75,50,3,0,0,2346909.51,82.97
54.38,5.61,36.77,56.21,43.61,35.53,11.9,0.4,1.558,0.623,3.21,22.91,12.82,92.71,6.45,0.0,110.0,44.0,1.0,2,65,50,0,0,1,0.0,80.96
76.88,5.09,39.25,57.19,22.7,11.25,3.478,1.2,2.541,3.05,0.86,33.59,24.21,82.17,10.77,0.0,185.0,74.0,1.0,2,65,20,3,0,0,714086.6,77.75
28.41,4.67,33.41,81.34,40.6,76.75,16.133,1.15,3.573,4.109,0.94,35.56,19.27,35.44,2.8,75.9,180.0,72.0,1.0,2,60,10,3,1,2,4021149.62,72.12
57.49,8.71,15.98,19.04,38.91,84.38,6.392,0.75,2.693,2.02,10.07,33.22,27.68,31.13,24.67,0.0,120.0,48.0,1.0,2,60,40,5,0,0,0.0,78.88
84.43,6.55,27.89,61.22,55.01,16.87,0.696,0.9,2.434,2.19,10.51,27.24,13.08,35.14,16.84,0.0,222.0,66.6,1.2,4,85,20,5,0,0,0.0,82.36
68.81,6.5,36.7,25.37,56.95,76.24,18.898,0.46,3.617,1.664,2.54,38.5,27.03,66.34,21.72,0.0,144.0,64.8,0.9,1,55,2,0,0,0,1342755.66,84.59
69.12,5.47,31.47,50.29,53.84,14.06,13.191,0.935,3.287,3.073,6.14,47.98,42.36,93.29,10.17,0.0,166.5,74.92,0.9,1,55,20,2,0,0,1714841.03,83.76
60.36,7.82,36.96,51.48,29.53,61.75,16.176,0.72,4.473,3.221,0.38,40.87,25.5,52.67,20.45,0.0,110.0,44.0,1.0,2,65,50,1,0,0,3585512.47,78.2
70.64,6.25,26.22,32.32,32.99,24.32,1.557,1.15,3.295,3.79,1.43,36.1,22.42,66.46,11.59,0.0,165.0,57.75,1.1,3,70,1,3,0,0,407044.14,77.07
56.53,6.66,15.64,44.24,33.51,38.9,11.645,0.75,2.95,2.212,3.8,34.01,21.11,77.37,20.32,0.0,216.0,64.8,1.2,4,80,10,1,0,0,1243584.18,80.24
89.16,4.77,38.36,45.44,12.61,46.3,5.21,0.6,1.909,1.146,1.12,26.55,17.55,80.23,13.48,0.0,162.0,72.9,0.9,1,50,10,1,0,0,337674.67,81.49
72.29,5.73,25.34,19.02,18.59,62.9,3.711,1.2,3.4,4.08,0.89,33.75,19.54,28.02,14.18,0.0,180.0,72.0,1.0,2,65,10,4,0,0,1103780.24,85.48
59.02,4.7,30.83,114.41,50.12,74.63,17.696,0.9,1.728,1.555,5.5,24.84,17.09,65.82,10.28,0.0,160.0,64.0,1.0,2,65,2,5,0,0,505189.96,78.86
43.27,5.57,34.51,36.6,66.7,41.02,13.384,0.4,1.667,0.667,0.55,20.87,7.76,53.88,14.67,0.0,132.0,46.2,1.1,3,75,40,0,0,1,538477.07,79.64
22.66,4.61,31.05,74.82,46.0,24.72,7.879,0.72,2.714,1.954,3.56,35.83,24.38,94.08,3.41,0.0,120.0,48.0,1.0,2,65,40,1,1,2,643857.21,80.18
49.26,7.73,32.31,118.99,14.63,13.85,14.514,1.15,3.221,3.704,6.74,35.35,26.79,25.96,2.14,0.0,198.0,69.3,1.1,3,70,10,3,0,1,2154899.41,78.01
43.4,4.81,27.98,12.78,65.03,24.87,10.846,1.1,4.802,5.283,1.21,44.4,30.94,59.97,8.11,0.0,121.0,42.35,1.1,3,75,50,3,0,1,3942357.76,74.47
94.53,7.48,28.94,89.02,39.89,10.11,11.29,1.2,4.098,4.917,2.3,46.73,39.45,71.75,5.02,0.0,132.0,39.6,1.2,4,85,50,3,0,0,3214112.34,85.75
42.81,7.49,34.89,111.63,22.6,38.94,3.133,0.977,5.89,5.757,2.21,47.77,30.72,60.5,21.05,0.0,180.0,72.0,1.0,2,60,10,2,0,1,1187582.07,82.08
22.13,7.9,18.19,100.0,63.65,65.24,0.82,1.0,1.98,1.98,8.29,27.09,18.67,47.01,2.19,88.7,170.0,68.0,1.0,2,60,25,3,0,0,11761.19,68.82
50.78,7.2,27.89,110.73,42.27,89.33,17.043,1.1,2.169,2.386,1.44,24.26,7.16,28.73,20.44,0.0,166.5,74.92,0.9,1,55,20,4,0,1,2666600.23,79.2
84.44,8.13,34.75,40.04,11.07,39.25,3.553,1.0,3.004,3.004,5.19,38.85,29.35,93.17,16.02,0.0,166.5,74.92,0.9,1,50,20,3,0,0,436168.23,89.51
76.18,5.29,27.56,50.85,15.98,36.24,1.457,1.062,1.5,1.594,10.13,18.77,12.02,92.23,13.74,0.0,132.0,39.6,1.2,4,80,50,2,0,0,0.0,77.96
39.95,6.78,25.99,17.15,53.06,23.36,12.43,1.15,3.573,4.108,1.85,37.51,30.53,24.6,19.52,0.0,176.0,61.6,1.1,3,70,2,4,0,1,2944809.83,79.13
24.71,5.86,17.53,84.6,9.67,48.3,19.934,0.42,4.828,2.028,2.25,42.42,29.42,42.97,15.6,168.18,165.0,57.75,1.1,3,70,1,0,1,2,2126025.51,59.98
25.46,8.49,26.24,27.38,32.58,40.2,16.568,0.42,4.754,1.997,1.97,40.01,25.01,20.83,10.4,60.97,187.0,65.45,1.1,3,70,25,0,1,2,1650420.4,75.1
25.97,6.91,20.38,6.39,23.09,87.95,16.051,1.2,6.216,7.459,1.82,46.79,35.45,28.23,13.7,168.37,180.0,54.0,1.2,4,85,1,3,1,2,8489525.58,57.11
22.85,6.7,18.75,42.34,60.3,45.46,7.58,0.85,2.409,2.048,9.33,29.83,18.86,78.88,22.3,0.0,120.0,48.0,1.0,2,60,40,4,0,0,27826.88,86.43
50.01,5.65,36.02,9.42,72.63,44.23,12.78,1.15,3.673,4.224,0.21,37.78,21.14,67.75,15.35,0.0,176.0,61.6,1.1,3,70,2,4,0,1,3752649.75,75.24
27.01,7.82,27.81,83.23,8.13,12.21,14.355,0.72,1.518,1.093,4.01,20.16,14.24,20.91,23.91,0.0,120.0,48.0,1.0,2,65,40,1,1,2,227459.64,79.1
76.97,7.48,19.63,25.02,12.38,61.13,15.311,0.48,1.915,0.919,1.05,25.95,20.68,26.16,24.2,0.0,150.0,60.0,1.0,2,65,1,0,0,0,784110.11,79.02
64.97,6.22,20.14,18.96,51.13,70.84,12.914,0.6,2.152,1.291,1.04,33.91,28.36,92.64,19.97,0.0,108.0,48.6,0.9,1,50,40,1,0,0,1058431.74,87.46
74.85,8.15,31.41,19.73,30.37,83.89,4.57,1.1,2.424,2.667,8.6,29.17,18.55,52.96,15.32,0.0,144.0,64.8,0.9,1,55,2,4,0,0,249951.33,86.65
24.72,5.39,37.17,79.27,26.44,74.36,17.241,1.15,5.368,6.174,1.85,43.4,26.45,38.92,18.88,152.8,150.0,60.0,1.0,2,65,1,4,1,2,7448796.42,63.46
67.49,5.3,28.63,118.24,75.3,8.67,3.38,0.48,1.611,0.773,2.11,21.95,7.51,81.33,5.34,0.0,180.0,54.0,1.2,4,85,1,0,0,0,80916.07,81.1
73.62,6.94,29.76,63.46,27.32,53.03,13.809,1.0,4.26,4.26,1.86,44.2,30.93,77.08,4.0,0.0,185.0,74.0,1.0,2,65,20,4,0,0,3366671.64,85.49
94.34,4.95,25.04,97.01,20.3,52.18,14.688,0.892,3.185,2.843,2.42,36.48,29.04,46.65,19.59,0.0,165.0,57.75,1.1,3,70,1,2,0,0,2152470.4,76.06
75.88,4.66,33.64,28.29,76.86,36.27,6.606,0.75,1.688,1.266,1.38,22.47,13.49,85.75,24.91,0.0,99.0,44.55,0.9,1,50,50,5,0,0,444260.6,81.74
62.44,6.26,25.32,85.0,5.24,57.67,7.174,0.66,3.398,2.242,3.08,41.83,35.62,64.12,12.02,0.0,153.0,68.85,0.9,1,55,25,1,0,0,725082.53,85.02
61.4,7.03,29.02,74.4,55.74,73.42,5.469,0.6,5.038,3.023,1.22,42.75,31.27,25.78,1.46,0.0,162.0,72.9,0.9,1,50,10,1,0,0,1117482.66,86.84
56.38,6.48,18.69,42.74,37.55,12.53,4.49,0.85,3.081,2.619,3.09,35.95,21.38,94.88,23.33,0.0,166.5,74.92,0.9,1,50,20,2,0,0,605570.66,86.05
65.89,8.04,17.96,52.14,67.99,37.63,11.48,0.4,2.943,1.177,0.08,35.63,28.23,47.17,8.36,0.0,170.0,68.0,1.0,2,60,25,0,0,0,843490.36,79.81
56.45,5.84,38.52,34.82,37.22,79.18,16.854,1.15,1.92,2.208,0.43,23.58,8.15,54.36,12.07,0.0,180.0,72.0,1.0,2,60,10,4,0,0,2287172.6,84.85
73.24,6.73,25.92,88.89,62.41,18.51,12.243,0.42,1.844,0.774,0.21,22.06,7.29,69.27,23.92,0.0,176.0,61.6,1.1,3,70,2,0,0,0,569040.55,79.07
34.76,8.58,21.24,36.27,61.95,43.23,15.557,1.0,1.502,1.502,7.11,19.96,8.62,22.52,1.57,0.0,121.0,42.35,1.1,3,75,50,4,0,2,0.0,76.09
