Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
25.7,73.8,25.9,Loamy,Tobacco,12.0,23.0,27.0,Urea
31.3,75.1,54.4,Clayey,Oil seeds,40.1,24.4,12.5,DAP
34.5,79.6,41.5,Sandy,Sugarcane,17.1,16.2,39.4,17-17-17
27.7,70.0,55.2,Loamy,Sugarcane,13.3,32.6,42.6,Urea
25.8,75.8,40.6,Sandy,Oil seeds,20.3,22.3,8.2,DAP
37.1,78.0,47.9,Red,Tobacco,35.8,13.7,9.3,10-26-26
33.5,71.7,56.6,Clayey,Pulses,12.1,21.4,10.7,20-20
36.0,54.0,29.7,Red,Wheat,23.6,35.5,6.0,DAP
21.5,68.0,27.9,Red,Barley,6.1,22.0,17.8,20-20
26.7,54.8,57.5,Sandy,Ground Nuts,9.9,6.1,44.7,17-17-17
34.0,62.3,42.0,Sandy,Maize,5.1,32.3,11.1,20-20
21.0,44.8,29.7,Sandy,Tobacco,36.2,34.6,14.6,DAP
26.7,51.4,59.7,Red,Cotton,17.6,20.3,5.6,20-20
36.0,61.1,64.7,Red,Tobacco,18.7,19.9,19.4,14-35-14
28.2,65.1,48.4,Red,Oil seeds,14.5,27.0,21.1,Urea
36.0,58.2,49.8,Clayey,Maize,8.5,31.6,24.7,Urea
30.5,43.1,64.0,Loamy,Cotton,9.0,33.4,15.6,20-20
32.3,46.5,61.4,Loamy,Wheat,11.1,38.1,43.7,Urea
27.5,77.3,59.6,Sandy,Wheat,21.1,13.1,20.7,28-28
37.8,46.0,48.8,Red,Paddy,15.9,41.1,11.1,20-20
27.5,50.9,27.3,Clayey,Ground Nuts,18.0,12.2,40.3,17-17-17
33.8,77.8,59.0,Loamy,Paddy,26.2,23.2,14.5,DAP
30.9,49.1,51.9,Clayey,Oil seeds,11.7,22.8,29.0,Urea
29.4,70.9,45.8,Sandy,Maize,41.3,10.2,16.4,10-26-26
22.4,41.2,55.2,Clayey,Cotton,6.4,25.3,37.6,Urea
20.3,54.0,48.6,Sandy,Cotton,8.5,42.6,30.9,Urea
29.3,71.3,40.9,Loamy,Wheat,6.5,43.7,41.6,Urea
36.7,59.7,35.3,Clayey,Tobacco,31.5,13.2,9.3,10-26-26
24.3,43.0,30.2,Clayey,Sugarcane,13.3,23.5,7.4,20-20
26.2,75.9,44.0,Clayey,Oil seeds,36.7,5.4,24.3,28-28
23.0,51.1,32.1,Loamy,Ground Nuts,7.7,9.7,23.0,17-17-17
29.1,67.6,26.6,Black,Wheat,40.0,22.0,13.7,DAP
36.6,42.4,36.1,Black,Millets,40.2,7.1,38.7,28-28
26.7,59.4,49.7,Sandy,Maize,5.5,38.7,8.3,20-20
32.8,75.8,45.5,Clayey,Sugarcane,10.3,31.2,22.7,Urea
24.4,50.8,40.1,Clayey,Paddy,20.5,25.3,8.3,DAP
22.2,75.6,48.7,Sandy,Tobacco,37.0,5.9,39.7,28-28
29.7,63.5,54.8,Red,Oil seeds,9.7,13.4,23.2,17-17-17
30.3,54.2,64.5,Clayey,Maize,7.0,8.2,25.9,17-17-17
22.9,47.5,36.4,Black,Ground Nuts,10.2,22.0,42.4,Urea
27.4,79.3,29.5,Loamy,Paddy,13.2,41.6,44.2,Urea
24.6,46.8,51.7,Clayey,Cotton,43.2,7.8,33.9,28-28
33.9,47.5,37.9,Loamy,Barley,30.6,26.1,6.1,DAP
31.0,51.5,48.2,Black,Oil seeds,5.7,33.3,9.4,20-20
22.4,42.5,64.6,Sandy,Sugarcane,13.9,14.9,40.2,17-17-17
30.7,58.9,41.5,Black,Maize,14.7,40.8,43.2,Urea
22.2,69.2,62.5,Loamy,Ground Nuts,24.5,10.7,21.7,28-28
35.2,45.6,56.8,Red,Oil seeds,15.6,13.6,24.1,17-17-17
29.4,54.4,60.1,Sandy,Sugarcane,8.8,31.0,40.4,Urea
28.3,52.1,54.9,Loamy,Oil seeds,8.8,42.5,25.8,Urea
29.8,76.3,50.0,Clayey,Oil seeds,22.9,35.7,8.3,DAP
22.5,71.8,49.8,Sandy,Paddy,33.3,6.5,42.3,28-28
25.6,49.9,54.8,Sandy,Barley,20.8,39.1,13.8,DAP
26.2,72.9,29.4,Sandy,Barley,20.6,16.6,16.0,14-35-14
33.0,68.8,50.6,Red,Pulses,9.5,7.4,33.6,17-17-17
36.4,63.3,41.0,Loamy,Cotton,19.1,19.3,18.5,14-35-14
20.3,74.9,62.3,Red,Maize,34.1,43.1,12.1,DAP
22.7,63.1,49.3,Black,Wheat,21.5,15.8,18.2,14-35-14
37.7,73.6,30.0,Loamy,Paddy,43.0,33.0,10.9,DAP
27.2,42.2,38.4,Sandy,Wheat,17.8,21.4,18.8,28-28
26.2,53.9,54.5,Loamy,Tobacco,16.0,18.5,16.2,14-35-14
27.5,76.6,39.5,Black,Paddy,19.6,21.7,16.2,14-35-14
22.7,56.6,28.4,Loamy,Tobacco,5.7,34.9,32.6,Urea
33.5,48.4,60.9,Red,Barley,25.1,9.7,24.8,28-28
30.2,42.6,56.0,Black,Barley,10.2,12.3,33.1,17-17-17
22.8,47.3,59.5,Clayey,Barley,11.4,26.8,29.3,Urea
27.4,41.0,31.2,Black,Cotton,37.9,8.0,7.9,10-26-26
32.1,40.8,29.2,Black,Maize,7.4,36.3,24.5,Urea
21.8,49.7,53.9,Black,Barley,13.7,29.9,7.7,20-20
25.3,75.9,25.5,Clayey,Sugarcane,7.4,20.7,12.6,20-20
27.6,75.7,57.7,Loamy,Paddy,10.9,29.5,26.5,Urea
24.8,65.0,41.4,Sandy,Oil seeds,21.6,16.0,20.3,14-35-14
35.6,59.5,60.8,Loamy,Barley,8.5,20.6,12.0,20-20
31.4,50.3,30.6,Black,Pulses,40.9,6.7,44.6,28-28
24.9,40.7,61.6,Sandy,Paddy,22.9,13.5,12.2,10-26-26
34.9,48.3,25.4,Red,Barley,12.8,41.8,12.8,20-20
32.0,47.0,61.6,Clayey,Cotton,30.5,33.0,5.5,DAP
23.0,69.5,28.3,Red,Ground Nuts,8.8,9.6,26.1,17-17-17
32.9,51.9,47.7,Clayey,Pulses,31.9,12.3,36.6,28-28
23.9,41.2,35.5,Sandy,Paddy,34.9,11.0,21.3,28-28
26.0,70.8,29.3,Clayey,Pulses,13.9,10.7,38.2,17-17-17
24.4,72.8,57.0,Red,Millets,9.7,6.2,26.8,17-17-17
36.5,45.5,63.0,Red,Cotton,16.3,14.5,24.6,17-17-17
34.5,66.4,52.7,Clayey,Ground Nuts,7.9,17.8,26.2,17-17-17
37.0,41.6,53.2,Sandy,Tobacco,16.9,5.4,24.5,17-17-17
32.6,51.9,62.0,Loamy,Cotton,13.6,31.9,43.6,28-28
35.2,52.8,58.2,Clayey,Sugarcane,6.6,25.8,6.0,20-20
32.5,53.6,54.0,Clayey,Tobacco,15.3,9.1,27.9,17-17-17
31.3,75.4,49.6,Red,Wheat,25.8,41.8,5.2,DAP
35.7,61.2,62.6,Sandy,Sugarcane,20.4,18.4,17.8,14-35-14
31.3,74.9,64.4,Loamy,Oil seeds,14.6,30.5,8.1,20-20
22.0,54.2,36.5,Loamy,Sugarcane,5.2,21.1,17.8,20-20
27.7,55.4,52.2,Red,Ground Nuts,25.5,10.4,6.2,10-26-26
35.8,77.8,43.7,Clayey,Barley,16.6,19.5,21.6,14-35-14
30.9,60.5,34.2,Clayey,Oil seeds,15.1,24.7,9.6,20-20
21.0,78.8,60.4,Clayey,Millets,43.2,24.3,9.0,DAP
33.6,67.8,31.2,Red,Millets,40.4,10.4,25.6,28-28
30.7,63.2,28.7,Black,Oil seeds,16.6,23.2,17.4,20-20
35.5,72.4,51.2,Black,Millets,8.7,30.2,22.2,Urea
24.7,68.9,44.8,Loamy,Paddy,22.0,5.8,25.5,28-28
35.3,59.8,44.2,Clayey,Sugarcane,34.8,28.7,11.8,DAP
30.2,50.7,60.1,Red,Cotton,16.3,14.2,36.5,17-17-17
35.1,67.9,52.2,Red,Wheat,35.5,13.8,38.8,28-28
35.7,41.2,58.0,Red,Maize,23.2,38.6,6.6,DAP
34.7,73.3,45.3,Red,Pulses,17.8,13.2,27.2,10-26-26
24.7,65.4,46.6,Clayey,Wheat,12.0,39.0,17.5,14-35-14
26.2,65.3,62.3,Black,Wheat,15.5,20.0,17.1,14-35-14
21.2,63.3,38.8,Red,Oil seeds,17.7,17.6,21.1,17-17-17
33.5,45.2,55.3,Clayey,Tobacco,11.4,28.1,15.0,20-20
32.3,57.8,35.9,Red,Millets,6.6,31.3,30.7,Urea
34.3,67.7,33.8,Red,Cotton,16.9,16.1,21.7,14-35-14
27.8,77.7,41.8,Loamy,Pulses,36.0,10.3,17.8,28-28
36.1,49.2,33.5,Clayey,Pulses,16.2,11.2,36.3,20-20
37.4,47.4,59.7,Red,Cotton,20.3,15.9,19.4,14-35-14
20.6,76.8,49.7,Sandy,Paddy,6.6,22.9,13.9,20-20
27.7,48.0,44.7,Red,Barley,21.6,13.0,34.5,28-28
25.6,58.2,25.5,Red,Paddy,19.2,19.9,17.0,14-35-14
35.5,71.2,26.6,Red,Paddy,21.9,18.5,16.0,14-35-14
31.1,68.1,47.4,Sandy,Oil seeds,5.9,32.9,28.2,Urea
26.3,41.3,28.1,Black,Tobacco,14.0,15.4,23.3,17-17-17
23.6,46.7,29.2,Sandy,Maize,35.9,20.8,14.4,DAP
20.9,61.7,53.4,Sandy,Pulses,41.8,40.0,8.4,DAP
34.7,43.2,60.8,Red,Ground Nuts,11.4,31.3,40.4,Urea
29.5,69.3,28.3,Loamy,Millets,16.3,7.8,26.2,17-17-17
37.6,53.5,32.3,Black,Cotton,39.7,14.3,12.2,10-26-26
24.1,79.9,64.0,Sandy,Cotton,36.3,5.7,25.0,28-28
20.6,50.3,43.5,Sandy,Paddy,41.7,9.5,10.5,10-26-26
26.7,79.5,26.6,Red,Wheat,14.4,11.3,34.5,17-17-17
35.7,76.0,41.9,Clayey,Ground Nuts,26.9,42.8,7.1,DAP
31.2,65.3,54.3,Black,Ground Nuts,23.3,8.1,7.3,10-26-26
37.5,47.2,59.2,Clayey,Maize,32.3,9.5,26.2,28-28
29.3,54.4,48.7,Black,Sugarcane,24.1,13.5,8.4,10-26-26
25.9,70.9,30.2,Sandy,Wheat,15.5,18.6,16.2,14-35-14
26.1,73.2,42.2,Red,Barley,7.2,7.2,35.4,17-17-17
20.7,69.5,51.6,Red,Cotton,12.6,40.1,16.3,20-20
23.7,44.5,35.8,Clayey,Ground Nuts,21.4,5.4,33.3,28-28
22.2,58.1,62.4,Clayey,Millets,6.9,21.0,17.8,20-20
37.4,40.2,63.1,Clayey,Paddy,36.0,10.2,41.7,28-28
28.8,66.7,30.6,Sandy,Paddy,7.6,37.6,13.8,20-20
37.5,43.8,51.9,Red,Pulses,31.1,15.9,14.0,10-26-26
37.0,67.3,44.9,Black,Maize,5.4,34.3,17.1,20-20
32.4,67.1,33.6,Loamy,Millets,36.5,36.3,6.1,DAP
31.8,80.0,26.9,Black,Barley,44.4,12.8,30.2,28-28
30.2,69.5,60.1,Black,Oil seeds,13.1,36.7,28.2,Urea
33.7,71.9,42.4,Loamy,Sugarcane,40.4,33.6,5.1,DAP
25.8,54.7,40.8,Red,Oil seeds,16.7,16.6,17.6,14-35-14
21.3,64.1,51.7,Red,Ground Nuts,16.2,11.7,31.6,17-17-17
28.6,41.0,38.6,Sandy,Sugarcane,29.5,10.3,30.0,28-28
30.9,70.6,57.5,Loamy,Paddy,7.5,5.1,43.9,17-17-17
31.7,75.9,34.7,Red,Oil seeds,43.2,6.3,9.6,10-26-26
28.7,50.3,36.4,Clayey,Barley,27.7,8.1,40.1,28-28
31.0,68.6,35.9,Black,Paddy,30.3,11.8,23.0,28-28
23.3,61.0,53.4,Loamy,Barley,14.6,26.4,34.2,Urea
28.7,72.2,47.0,Loamy,Tobacco,21.1,43.8,11.0,DAP
34.7,75.4,34.1,Black,Pulses,20.9,17.5,21.3,14-35-14
24.3,71.2,36.0,Black,Sugarcane,15.7,18.2,19.4,14-35-14
30.6,46.7,54.5,Loamy,Barley,41.6,22.4,5.2,DAP
31.6,64.3,46.9,Clayey,Cotton,25.8,10.0,29.8,Urea
37.8,45.5,52.8,Clayey,Paddy,14.0,17.9,30.7,17-17-17
22.3,44.2,54.0,Red,Sugarcane,15.6,16.3,21.3,14-35-14
25.8,49.1,39.2,Red,Millets,15.4,21.7,8.0,20-20
29.7,75.2,51.0,Sandy,Paddy,19.7,19.6,22.0,14-35-14
30.0,69.2,43.6,Sandy,Wheat,7.3,43.9,14.0,20-20
23.6,61.4,28.9,Sandy,Cotton,31.3,28.7,11.6,DAP
34.3,77.1,34.4,Black,Sugarcane,30.0,44.8,14.3,DAP
29.7,73.7,45.8,Red,Pulses,35.6,15.7,6.7,10-26-26
34.1,68.3,26.4,Loamy,Oil seeds,6.1,29.0,17.2,20-20
30.0,52.2,40.9,Red,Paddy,21.4,21.9,18.5,14-35-14
35.3,48.3,62.2,Red,Paddy,22.9,16.3,16.4,10-26-26
34.5,71.6,37.2,Clayey,Sugarcane,19.9,21.8,17.4,14-35-14
31.5,72.9,30.3,Loamy,Paddy,12.9,14.9,43.1,17-17-17
23.1,60.1,40.9,Loamy,Cotton,23.7,6.8,5.3,10-26-26
37.3,62.0,63.6,Sandy,Wheat,10.7,32.7,6.4,20-20
31.5,48.6,49.8,Red,Paddy,12.8,21.5,23.8,Urea
28.3,42.3,64.8,Black,Millets,7.4,44.6,37.4,Urea
22.6,44.9,37.1,Black,Ground Nuts,22.5,18.0,11.6,10-26-26
34.7,64.6,37.3,Loamy,Wheat,6.3,30.7,33.2,Urea
36.0,58.0,32.8,Loamy,Paddy,20.1,15.1,20.4,14-35-14
27.5,59.3,25.8,Sandy,Cotton,18.7,15.1,16.5,14-35-14
24.3,79.0,57.1,Clayey,Paddy,12.1,22.7,10.9,20-20
35.2,43.9,44.5,Black,Wheat,23.8,9.8,28.1,28-28
26.8,55.8,43.4,Red,Millets,12.9,43.9,42.3,Urea
25.7,67.5,42.5,Red,Barley,26.4,11.0,16.7,10-26-26
31.5,66.4,60.8,Sandy,Tobacco,11.7,7.0,35.3,17-17-17
33.3,60.5,52.2,Clayey,Pulses,5.7,37.9,22.1,Urea
21.3,40.5,63.3,Black,Pulses,8.5,27.4,28.8,Urea
33.9,66.5,32.4,Loamy,Millets,24.4,8.4,14.9,10-26-26
20.4,43.3,63.7,Black,Cotton,27.4,7.7,10.0,10-26-26
22.2,64.6,56.0,Red,Sugarcane,17.6,21.0,15.4,20-20
25.3,79.2,49.1,Black,Barley,13.5,6.7,38.7,17-17-17
26.1,77.1,34.0,Loamy,Barley,13.0,31.0,17.3,20-20
24.3,44.9,32.9,Black,Ground Nuts,15.6,27.1,16.2,20-20
35.2,76.8,35.1,Clayey,Maize,14.5,41.0,15.1,20-20
31.8,47.1,46.8,Black,Barley,6.6,21.1,43.4,Urea
22.4,69.0,57.7,Red,Oil seeds,20.1,19.1,18.8,14-35-14
29.2,51.9,47.6,Clayey,Millets,14.9,35.9,7.1,20-20
28.3,40.4,34.9,Clayey,Barley,38.2,15.4,10.2,10-26-26
23.7,62.2,54.3,Red,Maize,35.4,28.9,12.8,DAP
30.0,40.2,55.4,Loamy,Paddy,17.5,25.1,9.8,20-20
25.9,46.0,37.2,Red,Sugarcane,9.5,29.2,44.9,Urea
33.0,75.4,48.7,Clayey,Tobacco,5.0,13.1,30.3,17-17-17
26.4,71.8,28.7,Clayey,Maize,34.7,12.5,5.8,10-26-26
30.1,62.4,49.1,Loamy,Sugarcane,15.7,26.7,11.5,20-20
21.4,42.3,38.4,Loamy,Millets,11.7,10.7,37.7,17-17-17
22.7,53.1,42.4,Black,Wheat,20.1,21.5,22.0,14-35-14
31.6,56.8,50.4,Red,Tobacco,15.9,30.2,10.0,20-20
30.3,63.5,32.4,Red,Tobacco,29.1,15.8,5.3,10-26-26
24.9,60.7,36.9,Loamy,Sugarcane,43.5,13.7,26.5,28-28
35.2,47.4,57.1,Red,Barley,15.6,18.5,20.1,14-35-14
27.9,69.2,55.6,Sandy,Paddy,14.8,13.5,35.3,17-17-17
37.2,42.8,27.3,Clayey,Pulses,16.8,8.2,26.5,17-17-17
24.9,70.4,43.0,Loamy,Millets,39.4,5.8,5.4,10-26-26
36.3,45.6,46.3,Black,Oil seeds,15.2,21.7,19.6,14-35-14
30.1,77.5,27.1,Red,Barley,21.9,19.6,16.8,14-35-14
23.6,62.6,43.6,Loamy,Pulses,6.5,28.7,7.0,20-20
24.1,50.0,59.0,Red,Maize,34.0,13.6,33.1,28-28
33.0,42.7,53.3,Red,Wheat,11.3,7.2,22.0,17-17-17
37.0,74.0,51.8,Loamy,Millets,10.5,36.3,30.3,Urea
21.1,60.5,57.3,Clayey,Barley,16.4,16.2,16.8,14-35-14
25.9,70.3,45.8,Red,Sugarcane,25.1,8.1,16.3,10-26-26
28.1,79.4,55.9,Sandy,Cotton,16.8,31.6,12.0,20-20
29.0,44.2,51.3,Loamy,Sugarcane,17.5,39.4,7.6,20-20
29.4,51.5,56.7,Black,Barley,34.4,16.9,10.1,10-26-26
29.6,46.3,52.8,Sandy,Barley,21.3,21.9,16.9,14-35-14
22.5,48.1,32.4,Clayey,Wheat,42.3,9.4,36.4,28-28
31.1,43.3,60.3,Red,Oil seeds,9.2,44.2,32.6,Urea
37.7,66.7,50.4,Loamy,Ground Nuts,7.1,5.2,42.0,17-17-17
30.1,61.1,53.8,Loamy,Sugarcane,7.4,38.3,16.2,20-20
34.7,61.6,53.4,Sandy,Millets,27.9,40.5,9.6,DAP
26.4,59.8,58.1,Sandy,Maize,28.4,13.3,24.3,28-28
21.8,49.6,30.7,Black,Barley,28.7,11.5,31.3,28-28
31.2,54.1,58.7,Loamy,Oil seeds,6.6,35.9,13.8,20-20
25.9,67.5,27.8,Loamy,Cotton,24.4,25.7,13.4,DAP
25.0,65.7,52.8,Red,Pulses,5.4,9.0,27.6,17-17-17
31.8,77.5,59.8,Clayey,Cotton,39.2,36.6,7.6,DAP
36.3,66.8,47.4,Black,Millets,22.8,13.6,31.2,28-28
29.8,55.2,64.1,Red,Paddy,14.6,16.9,30.6,17-17-17
25.0,74.3,36.7,Sandy,Millets,42.8,5.2,38.8,28-28
37.3,69.1,37.2,Black,Ground Nuts,6.5,41.8,14.1,20-20
29.7,43.9,34.7,Red,Paddy,20.3,27.5,11.0,DAP
25.4,52.0,54.7,Red,Sugarcane,21.2,41.3,11.7,DAP
30.7,75.7,32.4,Black,Pulses,22.0,5.3,26.0,28-28
30.5,79.8,59.2,Black,Maize,19.2,15.7,15.8,14-35-14
36.4,66.8,58.2,Black,Maize,42.0,9.1,10.6,10-26-26
27.8,71.0,49.1,Sandy,Pulses,13.2,12.7,31.1,17-17-17
32.6,49.5,45.5,Black,Tobacco,22.6,17.4,13.5,10-26-26
30.8,69.7,45.3,Loamy,Ground Nuts,35.9,26.4,8.6,DAP
28.5,41.8,30.6,Loamy,Ground Nuts,9.8,28.3,44.3,Urea
23.5,64.4,36.2,Sandy,Paddy,15.1,15.3,16.5,14-35-14
21.9,53.6,57.1,Clayey,Barley,17.1,10.2,32.8,17-17-17
21.6,64.7,29.6,Black,Barley,11.4,14.1,32.7,17-17-17
37.9,45.3,36.0,Loamy,Cotton,21.4,19.3,20.0,14-35-14
25.6,73.0,63.2,Black,Oil seeds,40.5,8.3,5.7,10-26-26
21.1,64.2,52.5,Loamy,Paddy,17.6,17.9,15.8,14-35-14
33.5,42.8,28.2,Black,Barley,19.8,19.2,17.5,14-35-14
20.2,65.4,61.5,Sandy,Cotton,15.8,15.5,21.3,14-35-14
29.6,45.7,25.5,Red,Oil seeds,30.6,10.8,27.4,28-28
20.8,44.9,47.3,Red,Maize,28.6,13.5,38.2,28-28
32.5,57.2,51.9,Red,Barley,10.8,15.4,27.7,17-17-17
34.8,74.3,61.7,Black,Pulses,9.8,34.6,12.8,20-20
32.7,67.5,40.0,Black,Sugarcane,16.6,9.5,30.8,17-17-17
22.8,41.0,50.8,Sandy,Pulses,35.9,9.0,10.3,10-26-26
32.2,64.2,39.6,Clayey,Tobacco,13.9,6.8,44.7,17-17-17
28.7,41.1,45.2,Red,Paddy,5.4,10.0,29.6,17-17-17
22.9,40.9,55.2,Loamy,Maize,6.2,42.5,27.2,Urea
37.2,52.6,60.5,Red,Sugarcane,7.9,44.6,40.7,Urea
37.3,55.6,40.4,Clayey,Cotton,12.2,23.9,12.0,20-20
33.7,73.3,42.6,Clayey,Wheat,27.6,9.5,5.7,10-26-26
24.9,78.7,47.3,Loamy,Wheat,10.8,13.1,34.5,17-17-17
28.8,56.1,64.8,Red,Pulses,13.1,34.2,7.6,20-20
27.1,41.6,44.0,Black,Maize,16.8,14.4,25.7,17-17-17
29.6,74.8,30.2,Red,Millets,39.8,39.9,7.8,DAP
35.8,77.8,31.0,Sandy,Ground Nuts,31.6,13.6,44.5,28-28
30.6,55.0,36.4,Black,Maize,11.6,29.7,11.4,20-20
30.4,74.6,64.2,Sandy,Millets,10.7,39.1,40.7,Urea
37.2,48.0,29.4,Clayey,Maize,13.9,41.2,31.0,Urea
21.1,75.3,42.9,Loamy,Cotton,15.1,19.8,18.3,14-35-14
33.0,67.7,30.4,Sandy,Oil seeds,27.5,40.1,7.8,DAP
23.8,78.3,25.4,Loamy,Barley,17.1,20.2,15.1,14-35-14
35.0,69.6,30.7,Clayey,Maize,38.8,12.7,39.2,28-28
35.2,64.5,28.5,Loamy,Cotton,32.2,5.9,10.3,10-26-26
26.3,44.4,57.3,Loamy,Sugarcane,11.8,8.9,21.8,17-17-17
21.4,60.0,56.8,Loamy,Maize,37.7,9.0,21.3,28-28
25.3,49.3,36.2,Loamy,Pulses,40.1,14.1,43.2,14-35-14
25.8,59.1,34.0,Sandy,Cotton,9.7,13.4,44.5,17-17-17
22.2,75.5,45.1,Sandy,Sugarcane,5.9,35.6,13.9,20-20
24.4,68.6,57.9,Black,Oil seeds,40.1,15.1,6.9,10-26-26
24.9,59.9,36.4,Clayey,Tobacco,23.3,9.1,14.7,10-26-26
20.0,60.4,26.9,Clayey,Paddy,15.9,21.6,5.0,20-20
24.4,69.6,37.7,Sandy,Maize,16.0,26.8,9.1,20-20
34.2,75.7,42.4,Red,Ground Nuts,5.9,44.1,29.4,Urea
32.4,59.8,40.5,Red,Sugarcane,6.7,20.1,37.6,Urea
32.8,66.7,63.6,Loamy,Sugarcane,39.0,37.6,8.0,DAP
21.9,71.3,50.8,Clayey,Oil seeds,11.5,10.6,29.0,17-17-17
28.2,48.4,39.7,Clayey,Oil seeds,29.2,9.2,21.3,28-28
34.8,74.0,33.5,Clayey,Wheat,7.2,42.0,31.8,Urea
32.2,64.3,36.8,Sandy,Ground Nuts,9.1,13.4,36.3,17-17-17
27.1,68.5,33.0,Clayey,Tobacco,5.8,29.2,6.4,20-20
29.3,50.7,58.4,Loamy,Wheat,20.4,5.2,29.5,28-28
22.2,56.5,44.7,Red,Wheat,5.1,11.0,33.3,17-17-17
37.3,60.8,52.1,Red,Barley,11.8,17.7,39.3,17-17-17
22.3,40.7,55.8,Loamy,Ground Nuts,5.2,26.6,8.8,20-20
33.9,60.7,38.9,Sandy,Sugarcane,13.4,27.5,17.7,20-20
35.2,40.9,60.9,Black,Cotton,39.6,8.9,10.2,10-26-26
21.2,49.1,34.9,Clayey,Oil seeds,32.1,5.6,38.7,28-28
37.2,77.7,56.4,Red,Barley,15.5,16.6,17.6,14-35-14
23.5,45.6,49.9,Red,Maize,39.5,13.1,34.5,28-28
31.4,55.5,52.0,Black,Sugarcane,26.5,11.1,8.8,10-26-26
36.0,68.3,27.5,Loamy,Ground Nuts,10.8,35.8,6.7,20-20
37.2,61.2,34.7,Sandy,Barley,16.9,18.2,20.6,14-35-14
29.8,57.3,26.8,Sandy,Paddy,24.1,16.0,5.6,10-26-26
37.7,71.7,59.2,Red,Oil seeds,21.7,20.0,22.0,14-35-14
